;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;0.1;0;3;[64, 16, 32, 10];73.36684108;[0.8929166793823242, 0.9577333331108093, 0.9676666855812073, 0.9733833074569702, 0.977066695690155, 0.9802166819572449, 0.9826499819755554, 0.9836000204086304, 0.9855833053588867, 0.9865000247955322, 0.9871833324432373, 0.9887999892234802, 0.9909833073616028, 0.9904000163078308, 0.9904333353042603, 0.9912166595458984, 0.9922000169754028, 0.9923333525657654, 0.9931333065032959, 0.993149995803833];[0.3431427776813507, 0.1409531682729721, 0.10683701932430267, 0.08748672157526016, 0.07452551275491714, 0.06341426074504852, 0.055399078875780106, 0.051616061478853226, 0.04463682323694229, 0.04164312407374382, 0.03957150876522064, 0.03426584228873253, 0.02891146019101143, 0.028510021045804024, 0.029709085822105408, 0.02596927247941494, 0.023095473647117615, 0.02367398887872696, 0.021255677565932274, 0.02086450718343258];0.166090757;0.96509999;0.96509999
;;;;;;;;;;
;;;;;;;;;;
;;;epochs;accuracy;test 20 epochs;test 4 epochs;;;;
;;;1;0.892916679;0.96509999;0.9724;;;;
;;;2;0.957733333;0.96509999;0.9724;;;;
;;;3;0.967666686;0.96509999;0.9724;;;;
;;;4;0.973383307;0.96509999;0.9724;;;;
;;;5;0.977066696;0.96509999;0.9724;;;;
;;;6;0.980216682;0.96509999;0.9724;;;;
;;;7;0.982649982;0.96509999;0.9724;;;;
;;;8;0.98360002;0.96509999;0.9724;;;;
;;;9;0.985583305;0.96509999;0.9724;;;;
;;;10;0.986500025;0.96509999;0.9724;;;;
;;;11;0.987183332;0.96509999;0.9724;;;;
;;;12;0.988799989;0.96509999;0.9724;;;;
;;;13;0.990983307;0.96509999;0.9724;;;;
;;;14;0.990400016;0.96509999;0.9724;;;;
;;;15;0.990433335;0.96509999;0.9724;;;;
;;;16;0.99121666;0.96509999;0.9724;;;;
;;;17;0.992200017;0.96509999;0.9724;;;;
;;;18;0.992333353;0.96509999;0.9724;;;;
;;;19;0.993133307;0.96509999;0.9724;;;;
;;;20;0.993149996;0.96509999;0.9724;;;;
