;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;accuracies;losses;AVG_loss;AVG_acc
0;0.0001;0.0;3;[16, 32, 64, 10];11.11173152923584;[0.13044999539852142, 0.155883327126503, 0.1860000044107437, 0.22626666724681854];[2.3043415546417236, 2.2825264930725098, 2.261646032333374, 2.238645315170288];2.224761486053467;0.24300000071525574
1;0.0001;0.0;3;[16, 64, 32, 10];9.704140663146973;[0.10141666978597641, 0.11595000326633453, 0.13171666860580444, 0.14656667411327362];[2.3095219135284424, 2.293219804763794, 2.2777864933013916, 2.261352777481079];2.251157522201538;0.15729999542236328
2;0.0001;0.0;3;[32, 16, 64, 10];13.372547388076782;[0.11996666342020035, 0.1667666733264923, 0.19975000619888306, 0.22496666014194489];[2.3013832569122314, 2.286508560180664, 2.2725861072540283, 2.257629871368408];2.248807191848755;0.2329999953508377
3;0.0001;0.0;3;[32, 64, 16, 10];11.964425802230835;[0.11326666921377182, 0.1460999995470047, 0.19460000097751617, 0.24583333730697632];[2.2999165058135986, 2.2791805267333984, 2.260507106781006, 2.2410871982574463];2.2320704460144043;0.26899999380111694
4;0.0001;0.0;3;[64, 16, 32, 10];11.521765232086182;[0.1467999964952469, 0.1912333369255066, 0.22093333303928375, 0.24629999697208405];[2.296823501586914, 2.253997564315796, 2.2157745361328125, 2.175379753112793];2.146611213684082;0.2702000141143799
5;0.0001;0.0;3;[64, 32, 16, 10];11.754558801651001;[0.11203332990407944, 0.14695000648498535, 0.17536666989326477, 0.21248333156108856];[2.3283636569976807, 2.2848381996154785, 2.249171018600464, 2.2124955654144287];2.193100690841675;0.22930000722408295
6;0.0001;0.1;3;[16, 32, 64, 10];9.816622018814087;[0.13465000689029694, 0.17016667127609253, 0.2009333372116089, 0.21494999527931213];[2.300574779510498, 2.2887067794799805, 2.275177001953125, 2.2606091499328613];2.2514657974243164;0.2264000028371811
7;0.0001;0.1;3;[16, 64, 32, 10];10.12211799621582;[0.11309999972581863, 0.13171666860580444, 0.15601666271686554, 0.1875];[2.2927627563476562, 2.2773244380950928, 2.259911298751831, 2.2400119304656982];2.2265751361846924;0.2102999985218048
8;0.0001;0.1;3;[32, 16, 64, 10];11.142390966415405;[0.0713166669011116, 0.09049999713897705, 0.12836666405200958, 0.17820000648498535];[2.3039817810058594, 2.2775614261627197, 2.2535297870635986, 2.2279579639434814];2.213757038116455;0.20489999651908875
9;0.0001;0.1;3;[32, 64, 16, 10];11.983932495117188;[0.12224999815225601, 0.14409999549388885, 0.16813333332538605, 0.19361667335033417];[2.2977445125579834, 2.2700557708740234, 2.244051456451416, 2.2174761295318604];2.196955919265747;0.21389999985694885
10;0.0001;0.1;3;[64, 16, 32, 10];12.761237621307373;[0.1071000024676323, 0.12976667284965515, 0.1591833382844925, 0.19518333673477173];[2.2982895374298096, 2.2806100845336914, 2.263338327407837, 2.2441298961639404];2.229461669921875;0.21709999442100525
11;0.0001;0.1;3;[64, 32, 16, 10];12.035415172576904;[0.1014999970793724, 0.12071666866540909, 0.1419166624546051, 0.1698666661977768];[2.2835259437561035, 2.259917974472046, 2.2357776165008545, 2.2092952728271484];2.1896979808807373;0.20059999823570251
12;0.0001;0.2;3;[16, 32, 64, 10];10.00870394706726;[0.12444999814033508, 0.15166667103767395, 0.18261666595935822, 0.21140000224113464];[2.28951096534729, 2.2772982120513916, 2.263336658477783, 2.246948480606079];2.23510479927063;0.2296999990940094
13;0.0001;0.2;3;[16, 64, 32, 10];9.588648796081543;[0.1733333319425583, 0.21621666848659515, 0.24809999763965607, 0.28110000491142273];[2.2912580966949463, 2.2714710235595703, 2.2519867420196533, 2.2290897369384766];2.2111124992370605;0.301800012588501
14;0.0001;0.2;3;[32, 16, 64, 10];10.561744689941406;[0.09584999829530716, 0.11403333395719528, 0.14946666359901428, 0.19288332760334015];[2.2975432872772217, 2.2802863121032715, 2.262228488922119, 2.239626407623291];2.2240967750549316;0.22030000388622284
15;0.0001;0.2;3;[32, 64, 16, 10];10.537889003753662;[0.13124999403953552, 0.19981667399406433, 0.2575666606426239, 0.29464998841285706];[2.3010971546173096, 2.2467586994171143, 2.2021851539611816, 2.1589038372039795];2.1335623264312744;0.3181999921798706
16;0.0001;0.2;3;[64, 16, 32, 10];11.126944065093994;[0.12823332846164703, 0.1969333291053772, 0.2560499906539917, 0.30375000834465027];[2.288414478302002, 2.2596046924591064, 2.2295382022857666, 2.1953954696655273];2.1699347496032715;0.334199994802475
17;0.0001;0.2;3;[64, 32, 16, 10];11.047330141067505;[0.09264999628067017, 0.1523333340883255, 0.21111667156219482, 0.2589166760444641];[2.3014774322509766, 2.258129596710205, 2.2210230827331543, 2.178896427154541];2.146880626678467;0.2847999930381775
18;0.0001;0.3;3;[16, 32, 64, 10];9.843871593475342;[0.13516665995121002, 0.17614999413490295, 0.21774999797344208, 0.2513333261013031];[2.2732579708099365, 2.2519896030426025, 2.2264926433563232, 2.194317102432251];2.174945116043091;0.2669000029563904
19;0.0001;0.3;3;[16, 64, 32, 10];9.60330843925476;[0.08496666699647903, 0.15613333880901337, 0.22341667115688324, 0.2717333436012268];[2.291128635406494, 2.265855312347412, 2.2397584915161133, 2.2110605239868164];2.1878373622894287;0.3009999990463257
20;0.0001;0.3;3;[32, 16, 64, 10];10.629658937454224;[0.11429999768733978, 0.15565000474452972, 0.2011333405971527, 0.2424333393573761];[2.3066177368164062, 2.292994737625122, 2.2796154022216797, 2.2642438411712646];2.2539970874786377;0.2533999979496002
21;0.0001;0.3;3;[32, 64, 16, 10];11.661530494689941;[0.11313333362340927, 0.15531666576862335, 0.22438333928585052, 0.30044999718666077];[2.281707525253296, 2.2487235069274902, 2.211820125579834, 2.1681792736053467];2.1406233310699463;0.32910001277923584
22;0.0001;0.3;3;[64, 16, 32, 10];12.186954736709595;[0.1298166662454605, 0.1578666716814041, 0.18535000085830688, 0.22378332912921906];[2.301762580871582, 2.2631676197052, 2.2304129600524902, 2.195702314376831];2.1719417572021484;0.24639999866485596
23;0.0001;0.3;3;[64, 32, 16, 10];12.028846979141235;[0.10548333078622818, 0.15029999613761902, 0.1767166703939438, 0.20603333413600922];[2.3204829692840576, 2.2662527561187744, 2.218569040298462, 2.1657474040985107];2.1331982612609863;0.2214999943971634
24;0.0001;0.4;3;[16, 32, 64, 10];9.951192855834961;[0.10188333690166473, 0.11461666971445084, 0.12671667337417603, 0.13566666841506958];[2.3077971935272217, 2.2766222953796387, 2.2547693252563477, 2.230985641479492];2.214846134185791;0.1378999948501587
25;0.0001;0.4;3;[16, 64, 32, 10];10.168014287948608;[0.09085000306367874, 0.14963333308696747, 0.22376666963100433, 0.29323333501815796];[2.3063747882843018, 2.27951717376709, 2.254171371459961, 2.224611759185791];2.2058749198913574;0.3239000141620636
