;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;0.001;0.5;3;[16, 64, 32, 10];16.78627300262451;[0.28200000524520874, 0.6626333594322205, 0.8248500227928162, 0.8644499778747559];[2.073201894760132, 1.1698077917099, 0.6366910338401794, 0.4800772964954376];0.4323824346065521;0.8758999705314636;0.8758999705314636
1;0.0001;0.6;3;[64, 16, 16, 10];22.35595417022705;[0.12995000183582306, 0.23569999635219574, 0.37213334441185, 0.4790000021457672];[2.2585885524749756, 2.171351909637451, 2.058763027191162, 1.9205257892608643];1.8276575803756714;0.5271000266075134;0.8758999705314636
2;0.001;0.6;3;[64, 32, 16, 10];22.61372971534729;[0.47458332777023315, 0.8072500228881836, 0.871649980545044, 0.8923666477203369];[1.6856894493103027, 0.6983766555786133, 0.4611198604106903, 0.3806389570236206];0.34100523591041565;0.899399995803833;0.899399995803833
3;0.001;0.5;3;[64, 32, 32, 10];22.504573583602905;[0.47688332200050354, 0.812166690826416, 0.8715000152587891, 0.8913333415985107];[1.6864306926727295, 0.701089084148407, 0.4675968289375305, 0.3887920379638672];0.35501009225845337;0.9013000130653381;0.9013000130653381
4;1.0;0.1;3;[32, 32, 64, 10];19.918092966079712;[0.10721666365861893, 0.10191666334867477, 0.10276667028665543, 0.10471666604280472];[2.313004970550537, 2.309633493423462, 2.3093440532684326, 2.3094635009765625];2.3086843490600586;0.0957999974489212;0.9013000130653381
5;1.0;0.9;3;[32, 16, 16, 10];20.082029819488525;[0.1026500016450882, 0.10223333537578583, 0.10080000013113022, 0.1009666696190834];[2.3804922103881836, 2.3748459815979004, 2.3821141719818115, 2.378567934036255];2.3827297687530518;0.10100000351667404;0.9013000130653381
6;0.0001;0.2;3;[64, 64, 64, 10];22.392624616622925;[0.13126666843891144, 0.17136666178703308, 0.20711666345596313, 0.2349500060081482];[2.298828601837158, 2.2642948627471924, 2.2306630611419678, 2.1940195560455322];2.170041084289551;0.2524999976158142;0.9013000130653381
7;0.0001;0.4;3;[16, 32, 32, 10];16.404079914093018;[0.09589999914169312, 0.15801666676998138, 0.21863333880901337, 0.2540833353996277];[2.3012235164642334, 2.2847542762756348, 2.2667834758758545, 2.2425315380096436];2.2259562015533447;0.2694999873638153;0.9013000130653381
8;0.01;0.0;3;[32, 32, 16, 10];19.302756309509277;[0.7679333090782166, 0.9079833626747131, 0.9262666702270508, 0.9377333521842957];[0.8053308129310608, 0.3203478753566742, 0.2537345588207245, 0.21382498741149902];0.20210674405097961;0.9386000037193298;0.9386000037193298
9;0.01;0.3;3;[16, 16, 64, 10];16.64190673828125;[0.7441666722297668, 0.9002000093460083, 0.9150166511535645, 0.9243500232696533];[0.8456624746322632, 0.34088432788848877, 0.2868210971355438, 0.25515222549438477];0.23432941734790802;0.9312999844551086;0.9386000037193298
10;0.0001;0.3;3;[64, 32, 64, 10];22.724023580551147;[0.1200166642665863, 0.1798333376646042, 0.23589999973773956, 0.29155001044273376];[2.2896671295166016, 2.2382733821868896, 2.1854407787323, 2.1249310970306396];2.0871422290802;0.3240000009536743;0.9386000037193298
11;0.001;0.6;3;[32, 32, 32, 10];20.077426433563232;[0.4276333451271057, 0.7941333055496216, 0.8675500154495239, 0.8899833559989929];[1.8176887035369873, 0.7533754706382751, 0.4704749286174774, 0.38906779885292053];0.3519377112388611;0.8992999792098999;0.9386000037193298
12;0.1;0.9;3;[64, 16, 16, 10];22.725337743759155;[0.8674333095550537, 0.9286666512489319, 0.9371166825294495, 0.9319999814033508];[0.5045449137687683, 0.3072667121887207, 0.2738381326198578, 0.30087175965309143];0.32612144947052;0.9372000098228455;0.9386000037193298
13;0.0001;0.2;3;[16, 32, 32, 10];16.534506797790527;[0.1321166604757309, 0.16854999959468842, 0.21066667139530182, 0.22891665995121002];[2.306302309036255, 2.2742197513580322, 2.246151924133301, 2.2170088291168213];2.1941421031951904;0.24120000004768372;0.9386000037193298
14;0.0001;0.8;3;[64, 32, 16, 10];22.299728631973267;[0.22310000658035278, 0.3537166714668274, 0.5056833624839783, 0.6505666375160217];[2.2144486904144287, 1.921394944190979, 1.5839226245880127, 1.2477489709854126];1.0692858695983887;0.718999981880188;0.9386000037193298
15;0.01;0.4;3;[32, 32, 32, 10];19.59314489364624;[0.821066677570343, 0.9186999797821045, 0.9349166750907898, 0.9444833397865295];[0.6043050289154053, 0.27625006437301636, 0.22191552817821503, 0.18905647099018097];0.17935562133789062;0.9456999897956848;0.9456999897956848
16;0.1;0.6;3;[16, 32, 16, 10];16.339388370513916;[0.8857333064079285, 0.9313499927520752, 0.9416833519935608, 0.9459166526794434];[0.37596622109413147, 0.2334498018026352, 0.2026893049478531, 0.18775442242622375];0.22748218476772308;0.9366999864578247;0.9456999897956848
17;1.0;0.8;3;[16, 16, 64, 10];16.522440433502197;[0.10300000011920929, 0.09943333268165588, 0.1010499969124794, 0.10286666452884674];[2.3414108753204346, 2.338452100753784, 2.339998960494995, 2.338914155960083];2.3392465114593506;0.0957999974489212;0.9456999897956848
18;0.001;0.1;3;[16, 16, 32, 10];16.644671201705933;[0.20479999482631683, 0.4173833429813385, 0.635783314704895, 0.7488833069801331];[2.233873128890991, 1.9122002124786377, 1.3390209674835205, 0.8750520348548889];0.7308873534202576;0.7781000137329102;0.9456999897956848
19;0.0001;0.0;3;[16, 32, 16, 10];16.551097869873047;[0.12858332693576813, 0.1487666666507721, 0.17056666314601898, 0.1925666630268097];[2.289599657058716, 2.2785377502441406, 2.2682301998138428, 2.2573471069335938];2.247814893722534;0.20509999990463257;0.9456999897956848
20;0.001;0.8;3;[32, 32, 64, 10];20.5904278755188;[0.6607166528701782, 0.8868499994277954, 0.9063833355903625, 0.916700005531311];[1.1740717887878418, 0.3930599093437195, 0.32061195373535156, 0.2853052318096161];0.2665538191795349;0.9200999736785889;0.9456999897956848
21;0.001;0.0;3;[64, 32, 64, 10];22.767678260803223;[0.26536667346954346, 0.6444833278656006, 0.7938500046730042, 0.8447666764259338];[2.121509075164795, 1.4324473142623901, 0.8176776170730591, 0.5847214460372925];0.5026940703392029;0.86080002784729;0.9456999897956848
