;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;0.0001;0.3;3;[16, 64, 16, 10];11.346126079559326;[0.1850000023841858, 0.22955000400543213, 0.28558334708213806, 0.35618332028388977];[2.2707669734954834, 2.227536201477051, 2.170306921005249, 2.0973448753356934];2.0436325073242188;0.4059999883174896;0.4059999883174896
1;1.0;0.1;3;[32, 32, 16, 10];12.522352695465088;[0.10596666485071182, 0.10369999706745148, 0.10251666605472565, 0.10241666436195374];[2.3112614154815674, 2.3097352981567383, 2.3091726303100586, 2.309954881668091];2.3056490421295166;0.0982000008225441;0.4059999883174896
2;0.01;0.2;3;[32, 16, 16, 10];12.400491714477539;[0.7256666421890259, 0.9052333235740662, 0.92576664686203, 0.9367499947547913];[0.8663339018821716, 0.32537704706192017, 0.2551388740539551, 0.21524105966091156];0.19473466277122498;0.9452999830245972;0.9452999830245972
3;0.001;0.9;3;[16, 16, 32, 10];11.380415439605713;[0.6054499745368958, 0.8884333372116089, 0.9097833037376404, 0.9211000204086304];[1.188680648803711, 0.38473910093307495, 0.309040367603302, 0.26798999309539795];0.24109746515750885;0.9286999702453613;0.9452999830245972
4;0.0001;0.8;3;[64, 64, 64, 10];13.904920816421509;[0.2607666552066803, 0.5008000135421753, 0.6938999891281128, 0.7833999991416931];[2.1945972442626953, 1.8796027898788452, 1.4032570123672485, 0.9696409106254578];0.791560173034668;0.8228999972343445;0.9452999830245972
5;0.0001;0.1;3;[16, 64, 64, 10];11.414770603179932;[0.16169999539852142, 0.17389999330043793, 0.1838500052690506, 0.19161666929721832];[2.2982900142669678, 2.2860233783721924, 2.2738075256347656, 2.2607522010803223];2.251744031906128;0.19979999959468842;0.9452999830245972
6;0.01;0.1;3;[16, 16, 32, 10];12.603964805603027;[0.7131333351135254, 0.8889666795730591, 0.9122833609580994, 0.9247833490371704];[0.9178469181060791, 0.3704773485660553, 0.2960394620895386, 0.25840047001838684];0.24774204194545746;0.9271000027656555;0.9452999830245972
7;0.1;0.0;3;[32, 32, 16, 10];16.11796236038208;[0.8935666680335999, 0.9492499828338623, 0.9585333466529846, 0.9644166827201843];[0.3421190083026886, 0.16934789717197418, 0.13674567639827728, 0.11768888682126999];0.14135853946208954;0.957099974155426;0.957099974155426
8;0.001;0.8;3;[16, 64, 16, 10];15.354511976242065;[0.527899980545044, 0.846833348274231, 0.881933331489563, 0.8973666429519653];[1.4472688436508179, 0.5372021794319153, 0.408757746219635, 0.3561113178730011];0.32748639583587646;0.902899980545044;0.957099974155426
9;0.001;0.4;3;[64, 32, 16, 10];17.420425176620483;[0.32688334584236145, 0.7110166549682617, 0.8350333571434021, 0.8724666833877563];[2.011498212814331, 1.0790693759918213, 0.6116793155670166, 0.46660730242729187];0.407642126083374;0.8885999917984009;0.957099974155426
